workload_id,name,primary_mechanisms,baseline_p50_ms,candidate_p50_ms,p50_speedup,baseline_p95_ms,candidate_p95_ms,p95_speedup,p95_reduction_pct,success_rate,central_hypothesis_passed,evidence_level
W1,"W1: Independent fan-out reads","DAG Scheduler; Parallel Fan-Out",3402.31,1739.52,1.956,4439.62,2438.92,1.820,45.06,1.000,True,local_wall_clock
W2,"W2: Deterministic dependent chains","JIT Workflow Fusion; Model Hop Elimination",4852.79,3460.04,1.403,6372.40,4820.46,1.322,24.35,1.000,True,local_wall_clock
W3,"W3: Branching workflows","Confidence-Gated Speculation; Branch Prediction",1417.19,1116.60,1.269,2206.15,1776.37,1.242,19.48,1.000,True,local_wall_clock
W4,"W4: Repeated workflows with plan locality","Plan Locality Cache; JIT AST Reuse",3717.99,2231.15,1.666,6031.64,3476.46,1.735,42.36,1.000,True,local_wall_clock
W5,"W5: Large tool arguments and results","Action Bytecode; Commit-Horizon Dispatch",1753.11,1231.07,1.424,2577.77,1862.09,1.384,27.76,1.000,True,local_wall_clock
W6,"W6: Cold-start code/browser sandboxes","Predictive Sandbox Prewarming; Warm Pool Recycling",2492.91,1414.91,1.762,4262.09,2413.85,1.766,43.36,1.000,True,local_wall_clock
W7,"W7: Side-effecting actions requiring approval","Idempotent Commit Horizon; Side-Effect Safety Gate",1413.62,1151.02,1.228,2196.14,1967.32,1.116,10.42,1.000,True,local_wall_clock
