contention_mode,prediction_accuracy,p95_reduction_pct,mean_tool_cost_multiplier,wasted_call_rate,baseline_p50_ms,candidate_p50_ms,p50_speedup,baseline_p90_ms,candidate_p90_ms,p90_speedup,baseline_p95_ms,candidate_p95_ms,p95_speedup,baseline_p99_ms,candidate_p99_ms,p99_speedup,baseline_mean_ms,candidate_mean_ms,mean_speedup,baseline_success_rate,candidate_success_rate,success_rate_delta,cost_multiplier,rate_limit_error_rate,input_tokens_baseline,input_tokens_candidate,token_reduction_pct,deopt_rate,tool_start_p50_ms,tool_start_p95_ms,tool_start_speedup_p95,semantic_mutation_rate,extra_metrics
no_contention,0.5,7.506704766308238,1.50222,0.50222,1434.9031066211464,1241.9169111274045,1.1553938059499893,2040.8013284947112,1869.8432796579716,1.0914290789482695,2261.2985737455824,2091.5495659297626,1.0811594477993454,2740.545744419124,2591.0413885302187,1.0577004892900272,1491.010690019375,1307.0793799649587,1.14071931121685,1.0,1.0,0.0,1.50222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.5}
no_contention,0.55,8.757962510037212,1.44964,0.44964,1435.825723694778,1221.995859661999,1.1749841149968574,2053.1804286754436,1856.9314512637397,1.1056845567875682,2281.8807401697673,2082.0344804219394,1.0959860471222012,2789.5198045057737,2595.6269564191184,1.074699812932343,1495.5165846887553,1291.375003125836,1.158080790683407,1.0,1.0,0.0,1.44964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.55}
no_contention,0.6000000000000001,9.92361690192457,1.39658,0.39658,1435.6623078134885,1201.805162952667,1.194588234490745,2050.5551067924275,1825.442692679923,1.1233193542668918,2281.1775452970705,2054.8022248490624,1.110168909547797,2762.5684524418284,2554.4003748907,1.0814939112902517,1494.953066108014,1270.6652514168507,1.1765121179170297,1.0,1.0,0.0,1.39658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.6000000000000001}
no_contention,0.65,10.823640605698644,1.35006,0.35006,1432.0562684001459,1183.0089648254932,1.2105202166505897,2047.5928006986703,1802.3747664314901,1.13605274487541,2277.8089649273547,2031.2671088792335,1.121373429900193,2766.652817296774,2522.2270992695017,1.0969086876031362,1493.0748881996692,1252.0581860676918,1.1924964069672612,1.0,1.0,0.0,1.35006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.65}
no_contention,0.7000000000000001,12.23117780492345,1.29892,0.29892,1437.5888401313905,1168.8874287797237,1.2298779204360009,2045.4648083539696,1771.448730898014,1.1546847349722882,2271.0111522018556,1993.239740206406,1.139356749914431,2743.7928888426363,2475.9987965721502,1.1081559864412005,1494.0871204688258,1234.458345313658,1.2103179715547225,1.0,1.0,0.0,1.29892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.7000000000000001}
no_contention,0.75,13.483163769906161,1.24962,0.24962,1434.2088318671383,1143.7090087022973,1.253998019561335,2046.2213611851075,1742.7027367448002,1.1741654603740685,2270.13603247508,1964.0498734168148,1.1558443923451769,2763.7292768198354,2466.0784125897385,1.120698053521145,1492.2294989360666,1215.1699138558674,1.228000695146458,1.0,1.0,0.0,1.24962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.75}
no_contention,0.8,15.11429643500466,1.20068,0.20068,1434.8804285602314,1127.1789512108412,1.272983697059682,2043.4356968818527,1706.1791787202644,1.1976677024124458,2270.8689991551346,1927.643126972204,1.1780546758787471,2771.5933817765963,2438.0140487226595,1.1368242046138775,1492.5355244814846,1195.7183256706373,1.2482333777433516,1.0,1.0,0.0,1.20068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.8}
no_contention,0.8500000000000001,16.522865137621732,1.1499,0.1499,1434.3938432992222,1114.634880184732,1.28687327913289,2047.4788870175307,1678.2769364909657,1.2199886934623037,2265.9962192017865,1891.588719879468,1.1979328251366268,2770.058719731316,2379.612491994316,1.1640797520817239,1493.8232036874854,1179.2603491449863,1.266745892686522,1.0,1.0,0.0,1.1499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.8500000000000001}
no_contention,0.9,18.378580292924827,1.09986,0.09986,1433.5312365357595,1096.0791324879183,1.3078720267959858,2051.313700731672,1644.2991663357109,1.247530706533766,2273.1171301633744,1855.3504732440701,1.2251685937206471,2781.6882644199018,2355.9727049855073,1.1806963037107907,1493.7935064903268,1160.857929489109,1.2868013118088808,1.0,1.0,0.0,1.09986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.9}
no_contention,0.9500000000000001,20.337439365871425,1.04956,0.04956,1434.4956422849564,1082.7185504568133,1.3249016946091148,2053.150515120808,1610.033368021258,1.27522233756195,2281.5149877354634,1817.5132604814946,1.2552948236157824,2776.927064656835,2285.96997052541,1.214769704091337,1497.0149429819407,1143.4371631233394,1.3092236209052286,1.0,1.0,0.0,1.04956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.9500000000000001}
no_contention,1.0,22.041265004521442,1.0,0.0,1436.3331256517395,1065.9962585642777,1.3474091621918494,2049.1839250199027,1573.0733661021027,1.3026626533621557,2266.9646823215844,1767.2969891321763,1.2827298955761632,2753.072867826384,2193.4838973287438,1.2551142368444628,1494.8147586055109,1124.1083102720231,1.3297782295051093,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 1.0}
cancellable,0.0,-0.5409024452690658,1.3000000000000003,1.0,1435.9338907612205,1457.8996607720023,0.9849332772331189,2046.6012576323144,2063.1568181474145,0.9919756169916517,2273.6574675680804,2285.955736407199,0.9946200756894586,2762.4730925183458,2775.381036690082,0.9953491272005194,1494.3206689432216,1516.335424204717,0.9854816059098259,1.0,1.0,0.0,1.3000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.0}
cancellable,0.05,-0.11830069276174057,1.2845740000000003,0.94858,1433.2513429803626,1437.4507880405204,0.9970785469004596,2043.7487458600567,2045.9645860401497,0.9989169704132652,2265.7121591866453,2268.39251236695,0.9988183909241051,2741.8489385680773,2738.061433863978,1.001383279665407,1491.2370807451034,1493.1293706075007,0.9987326685151017,1.0,1.0,0.0,1.2845740000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.05}
cancellable,0.1,0.6886003527393795,1.270636,0.90212,1436.9272451438942,1421.6278529945132,1.0107618826665181,2046.7439068695962,2034.3950926085083,1.006070017719741,2267.9656387332216,2252.3484193448967,1.0069337493498751,2752.300728789546,2726.7100253713124,1.0093851943111365,1493.625539278562,1476.7315389296627,1.0114401297077626,1.0,1.0,0.0,1.270636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.1}
cancellable,0.15000000000000002,1.311321428084095,1.2555100000000003,0.8517,1434.8427432023786,1402.71325871531,1.022905240459832,2047.3082312134413,2020.00029106345,1.013518780304539,2269.6252198512743,2239.863138006164,1.0132874555324856,2773.2204907032715,2741.8574949585236,1.0114385943844328,1494.0739592210293,1457.6544204272568,1.0249850295676375,1.0,1.0,0.0,1.2555100000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.15000000000000002}
cancellable,0.2,1.8612824229095979,1.2401320000000002,0.80044,1433.087436970908,1382.5516877487335,1.0365525207267035,2052.1225264354566,2005.3487090315289,1.0233245306381238,2274.6530303103186,2232.315313274972,1.018965831925076,2765.44527255016,2739.464813696716,1.009483771692758,1495.6027185711825,1439.50171320965,1.0389725172583812,1.0,1.0,0.0,1.2401320000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.2}
cancellable,0.25,2.585652432681911,1.224652,0.74884,1435.343593940554,1363.0135470278433,1.0530662714764882,2042.7816113176855,1987.7784892671773,1.0276706495957635,2265.5636021098935,2206.984001717983,1.0265428296472972,2764.9912995889936,2716.407780591064,1.017885208305271,1494.0539006407082,1417.5293408890384,1.0539844626451793,1.0,1.0,0.0,1.224652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.25}
cancellable,0.30000000000000004,3.421682086644995,1.2100240000000002,0.70008,1431.088213469655,1338.6162428514212,1.0690802693543124,2051.2029661150254,1969.845571094583,1.04130140769118,2285.1890285922523,2206.9971249549344,1.035429091752403,2781.9061020347503,2703.2459737219806,1.0290983983985986,1493.0838134572766,1396.972192330666,1.068799952965607,1.0,1.0,0.0,1.2100240000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.30000000000000004}
cancellable,0.35000000000000003,3.920202329582461,1.1940460000000002,0.64682,1433.2076207616228,1319.5199184896683,1.0861583828170494,2043.395362855894,1950.5403989628132,1.0476047376114106,2258.486856399176,2169.9496020413017,1.0408015256550593,2753.270521221076,2644.7248541787512,1.0410423287968193,1492.8924993534445,1376.0811419340664,1.0848869691326495,1.0,1.0,0.0,1.1940460000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.35000000000000003}
